代码,名称,原总市值(亿),预测总市值(亿),市值差比率
600190,锦州港,67.5,84.48,25.16%
600191,华资实业,20.5,-5.7,-127.80%
600192,长城电工,23.9,25.96,8.62%
600195,中牧股份,64.7,64.43,-0.42%
600196,复星医药,568.0,543.62,-4.29%
600197,伊力特,58.6,58.47,-0.22%
600198,*ST大唐,61.5,85.06,38.31%
600199,金种子酒,26.7,24.33,-8.88%
600200,江苏吴中,46.9,54.59,16.40%
600201,生物股份,185.0,201.45,8.89%
600202,*ST哈空,13.8,18.95,37.32%
600203,福日电子,23.2,19.68,-15.17%
600206,有研新材,60.7,63.61,4.79%
600207,安彩高科,40.0,26.32,-34.20%
600208,新湖中宝,251.0,408.69,62.82%
600210,紫江企业,55.2,54.71,-0.89%
600211,西藏药业,53.2,48.44,-8.95%
600213,亚星客车,15.2,32.14,111.45%
600215,长春经开,33.4,28.43,-14.88%
600216,浙江医药,83.7,77.83,-7.01%
600217,中再资环,58.7,64.49,9.86%
600218,全柴动力,18.6,14.26,-23.33%
600219,南山铝业,263.0,340.18,29.35%
600221,海航控股,328.0,543.24,65.62%
600222,太龙药业,20.9,25.16,20.38%
600223,鲁商置业,31.1,40.14,29.07%
600225,天津松江,29.8,39.24,31.68%
600226,瀚叶股份,97.3,68.02,-30.09%
600227,圣济堂,51.0,49.25,-3.43%
600228,ST昌九,19.4,33.9,74.74%
600229,城市传媒,50.2,63.32,26.14%
600230,沧州大化,67.3,42.18,-37.33%
600231,凌钢股份,77.3,75.59,-2.21%
600232,金鹰股份,19.0,17.55,-7.63%
600233,圆通速递,293.0,168.66,-42.44%
600234,ST山水,15.6,36.49,133.91%
600235,民丰特纸,21.6,23.28,7.78%
600236,桂冠电力,332.0,220.59,-33.56%
600237,铜峰电子,20.7,17.94,-13.33%
600238,*ST椰岛,23.3,34.12,46.44%
600239,云南城投,50.6,95.01,87.77%
600240,华业资本,39.0,50.09,28.44%
600241,时代万恒,17.5,15.88,-9.26%
600242,中昌数据,81.3,84.3,3.69%
600243,青海华鼎,18.7,16.37,-12.46%
600246,万通地产,71.9,74.36,3.42%
600248,延长化建,37.2,25.35,-31.85%
600249,两面针,21.2,10.15,-52.12%
600250,南纺股份,20.2,33.73,66.98%
600251,冠农股份,39.9,45.06,12.93%
600252,中恒集团,91.4,98.38,7.64%
600255,梦舟股份,37.0,37.92,2.49%
600256,广汇能源,262.0,297.96,13.73%
600257,大湖股份,21.8,19.95,-8.49%
600258,首旅酒店,143.0,126.18,-11.76%
600259,广晟有色,69.8,101.46,45.36%
600260,凯乐科技,129.0,139.53,8.16%
600261,阳光照明,49.7,48.08,-3.26%
600262,北方股份,31.2,16.69,-46.51%
600265,ST景谷,35.9,111.51,210.61%
600267,海正药业,76.7,78.37,2.18%
600268,国电南自,36.1,33.38,-7.53%
600269,赣粤高速,93.6,90.64,-3.16%
600271,航天信息,462.0,399.26,-13.58%
600273,嘉化能源,135.0,149.78,10.95%
600275,ST昌鱼,14.6,17.23,18.01%
600276,恒瑞医药,2060.0,1827.5,-11.29%
600277,亿利洁能,155.0,202.18,30.44%
600278,东方创业,43.5,18.23,-58.09%
600279,重庆港九,28.5,28.2,-1.05%
600280,中央商场,40.1,39.27,-2.07%
600281,太化股份,19.3,26.77,38.70%
600282,南钢股份,158.0,203.1,28.54%
600283,钱江水利,39.5,48.01,21.54%
600284,浦东建设,50.0,58.31,16.62%
600285,羚锐制药,43.5,46.53,6.97%
600287,江苏舜天,22.7,-0.08,-100.35%
600288,大恒科技,31.9,39.12,22.63%
600289,*ST信通,17.8,33.01,85.45%
600290,华仪电气,41.3,37.53,-9.13%
600292,远达环保,40.8,39.24,-3.82%
600293,三峡新材,49.5,38.92,-21.37%
600295,鄂尔多斯,79.8,36.0,-54.89%
600297,广汇汽车,350.0,456.48,30.42%
600298,安琪酵母,200.0,235.67,17.83%
600299,安迪苏,305.0,287.01,-5.90%
600300,维维股份,49.3,48.56,-1.50%
600302,标准股份,18.1,9.08,-49.83%
600303,曙光股份,27.8,23.99,-13.71%
600305,恒顺醋业,85.4,94.75,10.95%
600306,商业城,12.0,37.15,209.58%
600307,酒钢宏兴,125.0,187.5,50.00%
600308,华泰股份,53.6,57.38,7.05%
600309,万华化学,845.0,845.95,0.11%
600310,桂东电力,33.7,38.2,13.35%
600311,荣华实业,25.4,21.19,-16.57%
600312,平高电气,114.0,123.37,8.22%
600313,农发种业,25.9,27.13,4.75%
600315,上海家化,182.0,212.52,16.77%
600316,洪都航空,76.7,86.24,12.44%
600317,营口港,156.0,158.88,1.85%
600318,新力金融,34.6,59.67,72.46%
600319,亚星化学,15.4,22.93,48.90%
600320,振华重工,178.0,152.52,-14.31%
600321,*ST正源,29.2,25.32,-13.29%
600322,天房发展,35.8,46.81,30.75%
600323,瀚蓝环境,105.0,110.46,5.20%
600325,华发股份,135.0,203.04,50.40%
600326,西藏天路,60.3,50.0,-17.08%
600327,大东方,31.8,17.3,-45.60%
600328,兰太实业,31.8,20.23,-36.38%
600329,中新药业,96.9,87.0,-10.22%
600330,天通股份,60.2,71.26,18.37%
600331,宏达股份,45.1,50.1,11.09%
600332,白云山,568.0,493.82,-13.06%
600333,长春燃气,35.8,41.59,16.17%
600335,国机汽车,68.8,74.34,8.05%
600336,澳柯玛,29.6,32.56,10.00%
600337,美克家居,70.5,79.96,13.42%
600338,西藏珠峰,127.0,173.78,36.83%
600339,中油工程,216.0,170.04,-21.28%
600340,华夏幸福,784.0,900.29,14.83%
600343,航天动力,55.1,66.63,20.93%
600345,长江通信,46.2,36.75,-20.45%
600346,恒力股份,687.0,440.15,-35.93%
600350,山东高速,212.0,300.71,41.84%
600351,亚宝药业,45.1,49.21,9.11%
600352,浙江龙盛,300.0,359.31,19.77%
600353,旭光股份,26.4,29.65,12.31%
600354,敦煌种业,20.6,25.64,24.47%
600355,精伦电子,19.0,20.69,8.89%
600356,恒丰纸业,17.8,1.39,-92.19%
600359,新农开发,17.0,21.3,25.29%
600360,华微电子,41.8,46.06,10.19%
600361,华联综超,24.3,28.42,16.95%
600362,江西铜业,466.0,320.95,-31.13%
600363,联创光电,38.8,40.96,5.57%
600365,通葡股份,15.7,16.18,3.06%
600366,宁波韵升,54.4,55.12,1.32%
600367,红星发展,22.3,17.11,-23.27%
600368,五洲交通,35.8,44.13,23.27%
600371,万向德农,15.1,26.96,78.54%
600372,中航电子,257.0,258.8,0.70%
600373,中文传媒,169.0,230.15,36.18%
600375,华菱星马,21.8,17.3,-20.64%
600376,首开股份,194.0,294.57,51.84%
600377,宁沪高速,494.0,481.81,-2.47%
600378,天科股份,27.4,39.55,44.34%
600379,宝光股份,16.5,26.53,60.79%
600380,健康元,131.0,96.2,-26.56%
600381,青海春天,35.6,36.54,2.64%
600382,广东明珠,37.3,18.68,-49.92%
600383,金地集团,456.0,504.18,10.57%
600386,北巴传媒,29.3,28.83,-1.60%
600387,海越能源,37.8,19.47,-48.49%
600388,龙净环保,110.0,127.45,15.86%
600389,江山股份,50.4,58.36,15.79%
600390,五矿资本,273.0,315.34,15.51%
600391,航发科技,41.4,61.86,49.42%
600392,盛和资源,160.0,141.8,-11.37%
600393,粤泰股份,59.6,62.34,4.60%
600395,盘江股份,83.6,98.12,17.37%
600396,金山股份,30.6,28.39,-7.22%
600397,*ST安煤,22.6,28.09,24.29%
600398,海澜之家,374.0,403.47,7.88%
600399,*ST抚钢,31.7,36.09,13.85%
600400,红豆股份,96.0,96.44,0.46%
600403,大有能源,92.0,99.96,8.65%
600405,动力源,26.5,33.09,24.87%
600406,国电南瑞,879.0,530.56,-39.64%
600408,*ST安泰,26.9,16.67,-38.03%
600409,三友化工,119.0,158.31,33.03%
600410,华胜天成,71.5,80.6,12.73%
600415,小商品城,212.0,232.35,9.60%
600416,湘电股份,57.3,59.97,4.66%
600418,江淮汽车,94.7,119.72,26.42%
600419,天润乳业,28.6,45.27,58.29%
600420,现代制药,95.8,66.87,-30.20%
600421,ST仰帆,14.7,19.92,35.51%
600422,昆药集团,48.5,60.66,25.07%
600423,*ST柳化,13.4,20.05,49.63%
600425,青松建化,43.6,28.95,-33.60%
600426,华鲁恒升,198.0,243.26,22.86%
600428,中远海特,74.7,74.77,0.09%
600429,三元股份,78.9,69.22,-12.27%
600433,冠豪高新,45.9,47.9,4.36%
600435,北方导航,122.0,114.6,-6.07%
600436,片仔癀,514.0,649.96,26.45%
600438,通威股份,340.0,310.08,-8.80%
600439,瑞贝卡,33.3,35.89,7.78%
600444,国机通用,14.5,24.5,68.97%
600446,金证股份,89.5,98.25,9.78%
600448,华纺股份,24.9,30.0,20.48%
600449,宁夏建材,36.7,14.82,-59.62%
600452,涪陵电力,40.8,64.03,56.94%
600455,博通股份,14.2,71.03,400.21%
600456,宝钛股份,70.6,78.13,10.67%
600458,时代新材,58.8,60.65,3.15%
600459,贵研铂业,45.1,52.66,16.76%
600460,士兰微,117.0,123.15,5.26%
600461,洪城水业,44.1,37.13,-15.80%
600462,九有股份,18.0,23.81,32.28%
600463,空港股份,23.8,33.29,39.87%
600466,蓝光发展,160.0,200.21,25.13%
600467,好当家,38.4,38.76,0.94%
600468,百利电气,46.9,50.7,8.10%
