最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润
5.73,16.61,0.77,18.0,17.8,-32.89,30.8,1.59,0.26,51.6,1.6,7.47,-22.04,13.6,4.38,12.93,71.6,51.6,6.38,0.9063,65.24,1.47,46.7,42.6,4.15,0.47,0.8045
3.07,18.56,1.1,7.0,26.8,153.58,5.02,1.01,0.12,55.0,1.01,2.78,170.57,8.1,0.93,17.01,69.6,55.0,0.0193,0.0012699999999999999,65.19,1.58,45.4,45.4,0.04,0.18,1.08
22.7,43.72,4.82,19.0,98.4,30.65,5.97,1.81,0.39,32.8,1.82,4.71,22.24,13.4,3.1,93.87,50.5,32.8,0.3925,0.0073,58.42,1.89,29.5,23.3,6.23,0.44,1.69
9.66,12.86,1.74,20.0,49.6,-9.64,11.9,5.85,0.56,21.5,5.84,5.57,22.95,23.1,3.1,57.13,48.0,21.5,16.8,1.85,10.25,5.02,4.92,3.83,1.09,0.67,4.21
10.1,46.34,2.87,21.0,49.0,15.7,6.2,1.01,0.16,13.3,1.01,3.52,40.03,4.33,0.8,44.46,23.3,13.3,1.88,0.4127,15.45,8.22,3.6,3.16,0.4331,1.52,0.884
12.5,8.08,1.59,22.0,127.0,2.71,222.0,17.6,1.16,207.0,18.7,7.85,23.08,46.2,4.32,22.01,256.0,207.0,17.2,2.93,60.85,20.3,156.0,135.0,20.9,1.9,12.4
4.31,8.52,0.98,23.0,92.1,18.49,1707.0,13.9,0.38,454.0,15.0,4.38,65.47,27.8,1.29,2.63,616.0,454.0,72.2,19.3,69.47,44.2,428.0,369.0,58.3,2.05,8.19
6.84,-13.9,1.61,24.0,73.3,-7.19,397.0,-1.8,-0.37,182.0,-4.37,4.26,-1133.93,-16.6,-1.55,3.73,218.0,182.0,12.4,6.42,66.94,41.8,146.0,140.0,6.3,3.9,-3.96
6.82,36.05,1.37,25.0,55.1,7.42,12.7,1.44,0.14,29.0,1.53,4.96,11.94,10.9,1.35,35.75,44.6,29.0,12.6,1.35,9.39,18.8,4.19,4.14,0.053,2.33,1.15
8.63,23.25,0.81,26.0,113.0,3.77,246.0,4.55,0.28,235.0,4.66,10.63,-39.26,86.7,6.62,14.91,274.0,235.0,12.9,6.99,45.14,24.8,124.0,105.0,18.4,1.89,3.64
9.68,27.95,1.12,12.0,404.0,10.19,80.6,18.2,0.26,1345.0,18.2,8.67,-43.03,92.4,2.18,2.05,1606.0,1345.0,2.81,7.1,75.14,207.0,1207.0,934.0,273.0,4.9,11.0
11.66,10.81,1.58,22.0,96.0,32.66,63.1,10.2,0.81,51.3,10.2,7.39,16.43,61.1,5.86,64.69,103.0,51.3,24.2,10.9,24.06,1.49,24.7,21.6,3.09,0.14,8.44
2.56,26.78,1.07,27.0,49.3,27.44,43.7,1.59,0.07,32.6,1.63,2.4,24.59,4.48,0.23,16.01,93.7,32.6,48.5,3.41,50.57,16.0,47.4,35.9,11.5,0.83,1.38
7.84,9.12,0.95,7.0,96.9,36.47,26.0,10.4,0.64,126.0,10.4,8.28,46.94,41.9,3.39,49.33,259.0,126.0,3.5,0.5803,57.67,1.23,149.0,135.0,14.0,0.1,7.97
12.22,16.94,1.85,6.0,271.0,2.0,194.0,13.7,0.54,284.0,14.2,6.59,-37.04,88.2,3.98,23.64,372.0,284.0,37.4,15.2,57.86,12.8,215.0,195.0,21.0,0.58,12.0
3.73,13.67,0.76,7.0,55.7,2.11,49.4,6.37,0.2,182.0,6.55,4.92,-41.95,42.4,2.84,32.04,239.0,182.0,14.2,4.68,64.34,12.3,154.0,100.0,53.9,0.82,3.05
6.43,7.97,1.16,16.0,296.0,-9.27,674.0,49.4,0.61,1310.0,50.5,5.56,7.64,120.0,2.6,16.44,2116.0,1310.0,145.0,153.0,74.47,76.5,1576.0,1086.0,490.0,1.66,27.9
3.1,260.77,2.37,28.0,50.3,1.45,21.5,0.0257,0.01,20.8,0.0697,1.31,-10.9,-10.7,-0.66,8.31,40.5,20.8,15.4,1.59,49.94,15.0,20.2,17.5,2.7,0.92,0.1448
6.74,18.58,1.5,29.0,27.1,26.71,17.2,2.33,0.27,19.6,2.33,4.5,8.64,3.24,0.62,20.37,39.2,19.6,3.77,0.842,32.2,11.1,12.6,9.65,2.96,2.12,1.42
8.26,-345.52,4.68,30.0,19.6,-1.15,5.62,-0.009590000000000001,-0.02,5.59,0.0023,1.77,87.99,0.0811,0.03,13.78,9.75,5.59,3.22,0.1723,47.18,1.04,4.6,4.51,0.0863,0.44,-0.0426
7.64,1601.67,1.54,31.0,45.9,-17.35,22.6,-0.2821,0.0,53.5,-0.1926,4.97,-84.19,2.69,0.37,10.41,114.0,53.5,3.85,1.08,64.52,24.4,73.3,48.4,25.0,3.31,0.0263
