,代码,名称,最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润,总市值
1167,603208,江山欧派,26.92,15.13,2.07,35,8.30亿,25.76,8.61亿,1.23亿,1.33,12.1亿,1.22亿,13.03,21.22,4.04亿,5,34.19,19.4亿,12.1亿,3.06亿,1.71亿,42.12,5.18亿,8.18亿,6.22亿,1.96亿,6.4,1.08亿,21.8亿
1168,603214,爱婴室,38.37,43.84,4.62,47,9.59亿,17.7,15.2亿,9867万,0.66,12.0亿,9656万,8.31,37.94,3.00亿,3,27.32,13.7亿,12.0亿,6993万,1806万,36.31,4.16亿,4.97亿,4.97亿,0,4.16,6564万,38.4亿
1169,603218,日月股份,17.71,27.16,2.46,13,17.6亿,24.46,16.6亿,2.28亿,0.49,28.1亿,2.30亿,7.2,9.11,15.1亿,3.7,21.38,38.1亿,28.1亿,7.54亿,1.56亿,24.17,8.68亿,9.20亿,8.58亿,6158万,2.23,1.99亿,72.1亿
1170,603220,贝通信,28.03,98.89,6.58,42,23.7亿,82.09,9.77亿,8018万,0.21,19.4亿,8037万,4.26,699.4,3.31亿,0.98,21.11,22.7亿,19.4亿,1.66亿,50.5万,63.59,2.16亿,14.5亿,14.5亿,0,2.2,7181万,94.7亿
1171,603222,济民制药,13.98,90.9,5.49,22,44.7亿,19.72,5.39亿,6355万,0.12,4.75亿,6235万,2.55,-7.61,2.67亿,0.84,44.87,19.9亿,4.75亿,4.03亿,2.29亿,47.17,2.00亿,9.41亿,5.18亿,4.23亿,0.62,3691万,44.7亿
1172,603223,恒通股份,10.69,30.48,2.06,23,18.0亿,45.2,39.5亿,8830万,0.26,9.19亿,8910万,5.18,36.51,2.99亿,1.49,4.28,18.0亿,9.19亿,4.88亿,1.70亿,37.89,5.22亿,6.83亿,6.52亿,3076万,2.59,5303万,21.6亿
1173,603225,新凤鸣,19.5,8.47,2.09,27,23.2亿,39.8,236亿,18.7亿,1.73,70.8亿,18.8亿,9.33,56.26,51.6亿,6.13,11.37,172亿,70.8亿,70.9亿,4.93亿,51.85,17.0亿,89.1亿,64.7亿,24.4亿,2.01,14.6亿,164亿
1174,603226,菲林格尔,16.57,18.57,2.45,35,4.86亿,5.45,6.26亿,8764万,0.67,5.26亿,9171万,6.78,27,3.24亿,2.79,31.21,10.5亿,5.26亿,2.74亿,5726万,25.05,3.48亿,2.64亿,2.57亿,651万,2.99,7796万,19.3亿
1175,603227,雪峰科技,4.39,50.5,2.45,34,28.9亿,69.34,14.3亿,1.25亿,0.07,12.3亿,1.19亿,1.79,47.84,1.38亿,0.21,18.52,26.6亿,12.3亿,8.53亿,2.59亿,44.18,3.24亿,11.7亿,7.98亿,3.76亿,0.49,4295万,28.9亿
1176,603228,景旺电子,48.78,23.92,5.29,50,39.6亿,18.09,36.4亿,7.59亿,1.53,45.7亿,7.56亿,9.21,21.71,21.2亿,5.17,32.42,66.5亿,45.7亿,15.8亿,2.28亿,40.42,10.5亿,26.9亿,18.8亿,8.09亿,2.75,6.29亿,200亿
1177,603229,奥翔药业,11.7,43.41,3.19,22,6.32亿,10.42,1.54亿,3524万,0.2,5.33亿,3470万,3.66,2.21,1.79亿,1.12,43.91,7.86亿,5.33亿,1.67亿,3598万,25.42,2.29亿,2.00亿,1.93亿,659万,1.43,3234万,18.7亿
1178,603232,格尔软件,24.5,139.62,3.73,56,12.5亿,24.36,1.56亿,804万,0.13,5.15亿,1567万,6.57,4.97,2.21亿,2.59,57.45,6.54亿,5.15亿,6841万,2699万,13.95,2.26亿,9120万,9048万,72.2万,2.65,1124万,20.9亿
1179,603233,大参林,38.99,28.25,5.32,21,25.0亿,18.86,63.0亿,5.50亿,1.03,41.1亿,5.54亿,7.33,12.9,14.8亿,3.69,41.7,63.7亿,41.1亿,7.90亿,2.53亿,53.2,9.74亿,33.9亿,33.6亿,2976万,2.43,4.14亿,156亿
1180,603238,诺邦股份,20.24,43.85,3,29,6.07亿,78.45,6.70亿,6273万,0.35,6.70亿,6274万,6.74,16.29,3.24亿,2.7,23.76,14.3亿,6.70亿,4.09亿,9461万,35.8,3.28亿,5.12亿,3.68亿,1.44亿,2.73,4154万,24.3亿
1181,603239,浙江仙通,10.7,19.09,2.98,6,9.71亿,8.1,5.36亿,1.27亿,0.42,7.69亿,1.30亿,3.59,-6.41,3.42亿,1.26,40.21,11.4亿,7.69亿,2.36亿,2668万,14.91,3.01亿,1.70亿,1.70亿,79.0万,1.11,1.14亿,29.0亿
1182,603258,电魂网络,16.31,33.47,2.39,56,19.0亿,-11.94,3.20亿,9211万,0.37,13.3亿,9214万,6.81,-37.71,4.46亿,1.83,82.18,19.0亿,13.3亿,2.47亿,1587万,12.76,8.76亿,2.43亿,2.41亿,172万,3.6,8884万,39.6亿
1183,603259,药明康德,72.38,29.51,6.99,21,75.4亿,21.9,69.2亿,21.7亿,1.84,71.3亿,21.8亿,10.36,81.4,44.2亿,4.22,40.68,172亿,71.3亿,32.8亿,5.40亿,35.74,50.7亿,61.3亿,50.6亿,10.8亿,5.11,19.3亿,759亿
1184,603260,合盛硅业,43.28,9.68,3.93,34,113亿,71.51,84.4亿,26.6亿,3.35,46.6亿,26.7亿,11,132.5,43.5亿,6.5,42.15,154亿,46.6亿,74.2亿,4.71亿,51.37,22.7亿,78.9亿,56.9亿,22.0亿,3.39,22.5亿,290亿
1185,603266,天龙股份,14.26,27.15,2.39,48,4.99亿,9.77,6.83亿,6833万,0.39,7.88亿,6925万,5.97,-14.21,3.70亿,2.65,25.31,10.9亿,7.88亿,2.21亿,675万,21.46,2.98亿,2.34亿,2.29亿,518万,2.13,5515万,20.0亿
1186,603268,松发股份,17.29,44.9,3.53,49,21.5亿,10.19,4.26亿,5725万,0.29,4.90亿,5599万,4.9,12.5,2.67亿,2.14,38.53,12.4亿,4.90亿,2.67亿,7015万,47.63,2.21亿,5.90亿,3.78亿,2.12亿,1.76,3614万,21.6亿
1187,603269,海鸥股份,15.02,56.76,2.17,13,5.58亿,-3.64,3.43亿,2573万,0.2,11.3亿,2500万,6.93,0.24,2.72亿,2.98,32.6,13.6亿,11.3亿,1.32亿,3058万,52.61,2.26亿,7.13亿,6.89亿,2400万,2.47,1816万,13.7亿
1188,603277,银都股份,9.04,13.77,2.13,13,14.1亿,5.9,11.0亿,2.37亿,0.49,17.8亿,2.37亿,4.25,8.2,5.11亿,1.27,43.79,21.8亿,17.8亿,2.53亿,7705万,21.74,6.79亿,4.73亿,4.32亿,4110万,1.69,1.97亿,36.2亿
1189,603278,大业股份,15.09,13.79,2.1,45,13.1亿,32.49,17.9亿,1.82亿,0.82,19.4亿,2.01亿,7.17,58.48,5.52亿,2.66,16.8,29.7亿,19.4亿,6.09亿,1.26亿,49.7,6.82亿,14.7亿,13.5亿,1.23亿,3.28,1.71亿,31.4亿
1190,603283,赛腾股份,17.41,28.11,4,58,6.96亿,37.72,6.45亿,8648万,0.46,9.20亿,8647万,4.35,-9.29,2.21亿,1.36,48.4,13.1亿,9.20亿,1.32亿,6023万,45.76,3.12亿,5.98亿,5.63亿,3438万,1.92,7560万,28.3亿
1191,603286,日盈电子,14.89,64.39,3.06,6,6.81亿,14.61,2.45亿,1739万,0.17,2.78亿,1734万,4.86,-24.35,1.25亿,1.42,29.68,5.72亿,2.78亿,2.15亿,2715万,25.24,1.92亿,1.45亿,1.42亿,269万,2.18,1528万,13.1亿
1192,603288,海天味业,67.41,43.61,14.45,32,1818亿,17.2,127亿,37.2亿,1.16,122亿,37.2亿,4.67,23.33,72.6亿,2.69,46.47,166亿,122亿,33.3亿,1.45亿,23.96,13.0亿,39.7亿,38.4亿,1.35亿,0.48,31.3亿,1821亿
1193,603289,泰瑞机器,8.27,23.47,2.35,58,11.2亿,10.27,5.62亿,8436万,0.26,10.9亿,8116万,3.52,11.46,3.17亿,1.19,28.78,13.1亿,10.9亿,1.65亿,2430万,28.78,3.21亿,3.76亿,3.73亿,365万,1.22,7042万,22.0亿
1194,603297,永新光学,44.15,29.88,3.71,30,9.27亿,10.38,4.22亿,1.07亿,1.11,8.34亿,1.06亿,11.91,14.78,3.24亿,3.86,38.83,11.5亿,8.34亿,1.39亿,5930万,13.31,5.38亿,1.54亿,1.33亿,2058万,6.4,9309万,37.1亿
1195,603298,杭叉集团,12.32,13.3,2.04,13,21.0亿,25.02,64.6亿,5.63亿,0.69,42.0亿,5.70亿,6.04,15.56,18.7亿,3.03,20.45,58.1亿,42.0亿,8.93亿,1.92亿,30.14,9.58亿,17.5亿,17.0亿,4879万,1.55,4.30亿,76.2亿
1196,603299,井神股份,5.36,19.25,1.37,34,15.0亿,6.42,20.4亿,1.49亿,0.21,15.5亿,1.47亿,3.92,-2.84,6.72亿,1.2,26.82,46.6亿,15.5亿,24.9亿,1.82亿,52.87,8.82亿,24.7亿,23.1亿,1.56亿,1.58,1.17亿,30.0亿
1197,603300,华铁科技,5.25,23.88,1.6,19,21.3亿,31.23,6.61亿,1.97亿,0.16,22.0亿,2.00亿,3.27,112.22,4.36亿,0.9,68.72,60.6亿,22.0亿,14.1亿,1045万,33.6,8.19亿,20.4亿,17.5亿,2.83亿,1.69,8001万,25.5亿
1198,603301,振德医疗,32.89,28.93,3.05,21,8.22亿,8.57,10.3亿,1.01亿,0.85,11.1亿,1.01亿,10.79,18.58,2.67亿,2.67,30.17,18.8亿,11.1亿,5.12亿,1.31亿,42.62,6.99亿,8.02亿,7.44亿,5827万,6.99,8526万,32.9亿
1199,603302,鑫广绿环,----,16.66,3.52,55,0,23.59,5.44亿,1.62亿,0.35,4.20亿,1.67亿,2.21,51.4,3.66亿,1.02,36.9,11.1亿,4.20亿,4.20亿,1.22亿,27.88,1827万,3.08亿,1.65亿,1.43亿,0.05,1.26亿,28.1亿
1200,603303,得邦照明,12.51,18.32,2.02,50,12.8亿,-5.9,28.6亿,2.06亿,0.51,29.3亿,2.44亿,6.19,23.03,10.9亿,2.67,15.59,36.6亿,29.3亿,2.72亿,2.17亿,30.66,9.22亿,11.2亿,11.2亿,97.0万,2.26,2.09亿,51.0亿
1201,603305,旭升股份,30.55,39.92,9.11,6,19.3亿,53.3,8.25亿,2.71亿,0.57,9.43亿,2.71亿,3.35,42.35,4.88亿,1.22,40.55,19.6亿,9.43亿,5.38亿,1.18亿,31.33,3.85亿,6.13亿,5.91亿,2157万,0.96,2.30亿,122亿
1202,603306,华懋科技,14.23,15.59,1.94,6,43.5亿,9.61,7.43亿,2.52亿,0.68,18.1亿,2.52亿,7.33,14.77,8.20亿,2.62,40.79,25.0亿,18.1亿,4.73亿,3933万,10.4,10.6亿,2.61亿,2.39亿,2181万,3.54,2.14亿,44.5亿
1203,603308,应流股份,8.74,40.82,1.32,58,35.0亿,21.56,12.8亿,7838万,0.16,30.6亿,7827万,6.64,3.52,7.58亿,1.75,34.44,73.3亿,30.6亿,31.1亿,3.12亿,59.39,15.7亿,43.5亿,34.9亿,8.70亿,3.62,6966万,37.9亿
1204,603309,维力医疗,10.24,36.36,2.26,21,20.5亿,11.6,5.00亿,4600万,0.21,5.01亿,4708万,4.52,-19.39,3.57亿,1.79,32.83,11.0亿,5.01亿,2.91亿,9663万,16.69,3.08亿,1.84亿,1.29亿,5547万,1.54,4225万,20.5亿
1205,603311,金海环境,11.13,28.19,3.11,58,23.4亿,6.83,4.32亿,7091万,0.3,6.04亿,7116万,3.58,-21.3,2.93亿,1.4,32.38,9.76亿,6.04亿,1.66亿,6767万,23.01,2.08亿,2.25亿,2.17亿,737万,0.99,6219万,23.4亿
1206,603313,梦百合,22.06,35.96,3.23,35,18.2亿,26.84,21.0亿,1.50亿,0.46,17.9亿,1.55亿,6.82,-23.84,4.30亿,1.79,30.1,28.2亿,17.9亿,5.49亿,1.24亿,41.05,8.90亿,11.6亿,11.4亿,1943万,3.71,1.10亿,52.9亿
1207,603315,福鞍股份,11.57,223.4,2.58,13,25.4亿,14.7,2.43亿,921万,0.04,8.92亿,907万,4.49,-64.51,1.41亿,0.64,17.12,14.3亿,8.92亿,3.79亿,3923万,30.88,6.00亿,4.41亿,3.96亿,4445万,2.73,854万,25.4亿
1208,603316,诚邦股份,7.92,28.66,1.94,62,8.32亿,2.07,5.30亿,4653万,0.21,13.0亿,4659万,4.08,-7.54,2.65亿,1.3,24.16,15.7亿,13.0亿,1616万,154万,47.18,3.34亿,7.40亿,7.00亿,4000万,1.64,4213万,16.1亿
1209,603318,派思股份,12.49,352.55,4.88,13,50.2亿,-23.02,3.31亿,1715万,0.03,11.8亿,1732万,2.56,-79.31,8492万,0.21,31.08,21.1亿,11.8亿,1.96亿,2353万,51.22,5.23亿,10.8亿,9.44亿,1.39亿,1.3,1072万,50.4亿
1210,603319,湘油泵,21.1,17.42,2.33,6,9.73亿,14.3,6.60亿,8592万,0.91,7.12亿,8544万,9.05,9.45,3.98亿,4.91,31.38,13.5亿,7.12亿,4.15亿,9560万,45.53,2.02亿,6.13亿,4.37亿,1.76亿,2.5,7351万,17.1亿
1211,603320,迪贝电气,18.08,37.82,2.95,13,5.88亿,-1.18,4.86亿,4279万,0.36,4.86亿,4281万,6.13,-13.53,2.75亿,2.75,14.56,7.16亿,4.86亿,1.39亿,7692万,14.43,2.18亿,1.03亿,9956万,385万,2.18,3586万,18.1亿
1212,603321,梅轮电梯,6.9,34.5,2.08,13,8.01亿,-8.38,5.08亿,4900万,0.15,11.6亿,5300万,3.32,-27.48,3.27亿,1.07,26.13,15.4亿,11.6亿,2.80亿,4460万,33.58,3.45亿,5.16亿,5.04亿,1188万,1.12,4605万,21.2亿
1213,603322,超讯通信,32.92,251.48,7.49,42,14.9亿,43.32,9.25亿,3662万,0.1,16.9亿,3464万,4.39,17.7,1.47亿,1.31,21.22,20.2亿,16.9亿,6232万,5267万,66.87,2.22亿,13.5亿,11.7亿,1.82亿,1.98,1100万,36.9亿
1214,603323,吴江银行,6.45,9.74,1.05,1,39.1亿,11.54,22.9亿,8.18亿,0.5,0,8.17亿,6.16,16.25,13.4亿,0.93,0,1105亿,0,6.94亿,1.87亿,91.56,12.8亿,1012亿,0,0,0.88,7.19亿,93.4亿
1215,603326,我乐家居,12.4,31.42,3.55,35,7.98亿,26.03,7.46亿,7940万,0.3,5.48亿,8227万,3.49,65.3,2.12亿,0.94,37.01,11.7亿,5.48亿,3.55亿,4095万,32.38,3.48亿,3.78亿,3.52亿,2520万,1.54,6688万,28.0亿
1216,603328,依顿电子,10.19,15.93,2.37,50,101亿,-1.88,24.1亿,5.73亿,0.48,42.2亿,5.68亿,4.3,14.57,19.9亿,2,30.08,52.5亿,42.2亿,9.14亿,765万,18.24,10.1亿,9.57亿,9.41亿,1636万,1.02,4.79亿,102亿
1217,603329,上海雅仕,15.89,33.5,2.85,23,5.24亿,1.09,11.8亿,5795万,0.36,9.64亿,6122万,5.57,-8.26,2.31亿,1.75,9.77,11.3亿,9.64亿,9509万,219万,29.02,3.55亿,3.27亿,3.27亿,0,2.69,4696万,21.0亿
1218,603330,上海天洋,19.42,36.18,2.44,48,6.12亿,27.32,4.08亿,3803万,0.4,4.36亿,4029万,7.97,95.39,1.52亿,1.95,28.16,9.23亿,4.36亿,1.75亿,5456万,31.24,3.73亿,2.88亿,1.77亿,1.11亿,4.78,3140万,15.1亿
1219,603331,百达精工,15.07,25.23,2.7,26,4.79亿,11.23,5.79亿,7148万,0.45,6.13亿,7166万,5.58,13.45,2.40亿,1.85,27.13,10.5亿,6.13亿,3.45亿,4740万,32.95,3.10亿,3.46亿,3.33亿,1387万,2.51,5789万,19.5亿
1220,603332,苏州龙杰,----,----,----,2,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
1221,603333,尚纬股份,5.28,39.81,1.91,38,27.0亿,66.78,11.0亿,5303万,0.1,14.0亿,5312万,2.76,129.53,2.51亿,0.48,18.69,21.0亿,14.0亿,5.05亿,6306万,31.63,6.27亿,6.64亿,6.20亿,4481万,1.21,5173万,27.5亿
1222,603335,迪生力,6.17,75.75,3.58,6,9.65亿,2.04,6.18亿,2989万,0.06,6.01亿,3029万,1.72,-33.18,9306万,0.28,26.07,8.17亿,6.01亿,1.11亿,2974万,25.17,1.17亿,2.06亿,2.04亿,197万,0.36,2012万,20.3亿
1223,603336,宏辉果蔬,16.51,39.02,3.55,39,11.3亿,2.45,5.36亿,5604万,0.32,7.11亿,5517万,4.65,6.29,3.64亿,2.1,15.8,9.38亿,7.11亿,1.11亿,5227万,14.04,2.49亿,1.32亿,1.27亿,500万,1.44,5502万,28.6亿
1224,603337,杰克股份,35.85,22.18,4.56,58,29.1亿,52.53,32.3亿,4.40亿,1.21,24.7亿,4.40亿,7.86,58.26,12.8亿,4.19,28.25,39.8亿,24.7亿,7.90亿,3.04亿,38.85,7.17亿,15.5亿,12.7亿,2.74亿,2.34,3.71亿,110亿
1225,603338,浙江鼎力,58.55,27.46,5.73,13,145亿,53.13,13.3亿,4.68亿,1.6,24.1亿,4.68亿,10.22,74.11,10.2亿,4.13,40.66,34.1亿,24.1亿,2.25亿,1.43亿,25.72,11.7亿,8.76亿,7.40亿,1.36亿,4.72,3.96亿,145亿
1226,603339,四方科技,15.78,17.46,2.08,13,9.12亿,24.07,8.59亿,1.67亿,0.68,13.6亿,1.67亿,7.6,22.75,8.16亿,3.87,27.98,19.7亿,13.6亿,3.97亿,1.14亿,18.7,5.79亿,3.69亿,3.56亿,1238万,2.75,1.43亿,33.3亿
1227,603345,安井食品,36.92,30.45,4.36,32,45.4亿,20.59,29.4亿,2.47亿,0.91,23.3亿,2.56亿,8.47,41.22,9.63亿,4.46,26.3,40.3亿,23.3亿,12.2亿,9924万,51.03,5.95亿,20.6亿,16.4亿,4.14亿,2.75,1.96亿,79.8亿
1228,603348,文灿股份,23.61,37.07,2.57,6,13.0亿,12.03,11.9亿,1.20亿,0.48,10.8亿,1.20亿,9.18,10.2,5.67亿,2.58,28.38,29.2亿,10.8亿,11.8亿,9918万,30.85,12.1亿,9.01亿,5.36亿,3.65亿,5.5,1.05亿,51.9亿
1229,603355,莱克电气,22.85,20.31,3.39,26,91.6亿,5.88,42.6亿,3.80亿,0.84,39.7亿,3.87亿,6.73,23.37,21.1亿,3.25,24.28,51.8亿,39.7亿,7.99亿,1.57亿,32.39,7.95亿,16.8亿,16.7亿,1194万,1.98,3.38亿,91.6亿
1230,603356,华菱精工,15.51,31.15,3.07,13,5.17亿,42.33,6.79亿,5652万,0.37,6.49亿,6468万,5.06,2.34,2.17亿,1.63,19.24,9.18亿,6.49亿,2.07亿,1935万,25.49,3.12亿,2.34亿,1.99亿,3477万,2.34,4979万,20.7亿
1231,603357,设计总院,20.02,14,3.15,16,31.8亿,43.87,11.7亿,4.20亿,1.07,27.3亿,4.19亿,6.36,102.02,8.00亿,2.46,49.41,30.0亿,27.3亿,1.08亿,1521万,31.27,8.81亿,9.39亿,9.21亿,1772万,2.71,3.48亿,65.0亿
1232,603358,华达科技,11.38,14.74,1.39,6,15.7亿,22.18,27.3亿,2.10亿,0.58,29.5亿,2.12亿,8.18,2.38,7.94亿,2.53,18.13,47.5亿,29.5亿,11.2亿,1.53亿,42.87,13.7亿,20.4亿,20.1亿,2953万,4.38,1.82亿,35.7亿
1233,603359,东珠生态,16.33,16.21,2.06,62,25.0亿,37.84,11.8亿,2.87亿,0.76,35.0亿,2.87亿,7.93,38.15,10.5亿,3.29,28.18,44.0亿,35.0亿,2062万,25.0万,41.5,10.6亿,18.2亿,18.2亿,0,3.33,2.41亿,52.0亿
1234,603360,百傲化学,13.2,17.02,3.23,34,10.4亿,35.92,4.03亿,1.29亿,0.58,4.20亿,1.29亿,4.09,33.28,2.58亿,1.38,45.97,9.36亿,4.20亿,2.04亿,8598万,18.65,2.70亿,1.75亿,1.27亿,4753万,1.44,1.09亿,24.6亿
1235,603363,傲农生物,8.39,84.58,4.36,39,15.4亿,22.33,42.3亿,2651万,0.07,13.7亿,2454万,1.92,-64.97,1.92亿,0.45,13.9,33.3亿,13.7亿,10.5亿,1.61亿,69.41,2.23亿,23.1亿,19.7亿,3.45亿,0.52,3169万,35.7亿
1236,603365,水星家纺,15.7,17.38,2.01,29,13.9亿,13.62,18.0亿,2.01亿,0.68,19.3亿,2.12亿,7.81,15.22,8.24亿,3.09,34.91,24.7亿,19.3亿,3.24亿,1.26亿,15.65,8.99亿,3.87亿,3.73亿,1320万,3.37,1.81亿,41.9亿
1237,603366,日出东方,4.38,-62.24,1,26,35.0亿,18.14,22.7亿,-3870万,-0.05,18.8亿,-4057万,4.38,-151.7,6.96亿,0.87,34.99,59.6亿,18.8亿,12.0亿,5.03亿,40.01,18.1亿,23.8亿,22.7亿,1.10亿,2.26,-4222万,35.0亿
1238,603367,辰欣药业,14.49,13.12,1.63,22,41.7亿,42.12,27.9亿,4.29亿,0.83,34.7亿,4.31亿,8.88,84.05,15.2亿,3.35,58.22,51.2亿,34.7亿,10.9亿,1.91亿,21.32,18.8亿,10.9亿,9.98亿,9276万,4.15,3.76亿,65.7亿
1239,603368,柳药股份,25.3,12.58,1.74,22,51.8亿,24,87.1亿,4.85亿,1.51,82.2亿,4.85亿,14.51,34.94,13.0亿,5.02,10.29,90.8亿,82.2亿,5.48亿,1.07亿,57.56,20.7亿,52.3亿,50.7亿,1.59亿,8,3.91亿,65.5亿
1240,603369,今世缘,15.2,13.9,3.19,25,191亿,31.96,31.6亿,13.6亿,0.82,54.0亿,13.7亿,4.76,32.19,36.0亿,2.87,72.66,77.4亿,54.0亿,7.59亿,1.09亿,22.62,7.17亿,17.5亿,17.3亿,1709万,0.57,10.3亿,191亿
1241,603377,东方时尚,13.48,31.08,4.46,23,22.2亿,-13.78,8.08亿,1.63亿,0.33,8.87亿,2.72亿,3.02,-9.63,4.53亿,0.77,49.48,39.6亿,8.87亿,5.37亿,8.96亿,43.58,5.62亿,17.3亿,12.5亿,4.73亿,0.96,1.91亿,79.3亿
1242,603378,亚士创能,13.34,37.61,1.99,34,9.20亿,19.15,11.6亿,6041万,0.27,16.7亿,6894万,6.7,-33.2,5.21亿,2.68,28.6,24.5亿,16.7亿,2.80亿,8497万,46.75,5.78亿,11.5亿,8.63亿,2.83亿,2.97,5182万,26.0亿
1243,603380,易德龙,15.42,25.32,3.36,50,7.39亿,12.41,6.88亿,8485万,0.46,7.53亿,8497万,4.6,7.08,1.85亿,1.15,25.8,9.90亿,7.53亿,1.88亿,1019万,25.49,3.67亿,2.52亿,2.47亿,539万,2.29,7308万,24.7亿
1244,603383,顶点软件,30.91,49.79,3.83,56,17.9亿,28.43,1.67亿,5640万,0.47,10.3亿,5687万,8.07,48.69,3.94亿,3.28,75.23,11.4亿,10.3亿,5250万,131万,14.73,4.36亿,1.68亿,1.68亿,0,3.62,5597万,37.2亿
1245,603385,惠达卫浴,8.45,11.69,1,53,22.3亿,4.55,21.6亿,2.44亿,0.54,23.5亿,2.47亿,8.42,12.62,16.9亿,4.58,28.07,43.4亿,23.5亿,10.2亿,1.96亿,24.6,9.20亿,10.7亿,9.22亿,1.45亿,2.49,2.00亿,31.2亿
1246,603386,广东骏亚,16.44,39.17,5.11,50,9.32亿,19.11,8.39亿,6625万,0.31,6.90亿,6868万,3.22,29.68,1.91亿,0.95,20.64,14.0亿,6.90亿,5.48亿,2625万,53.51,2.43亿,7.48亿,7.32亿,1519万,1.2,6353万,33.2亿
1247,603387,基蛋生物,27.26,21.1,3.98,21,25.1亿,37.38,4.54亿,2.09亿,0.97,11.8亿,2.09亿,6.84,30.62,3.90亿,2.1,80.68,14.5亿,11.8亿,1.35亿,2592万,10.11,6.76亿,1.46亿,1.42亿,367万,3.64,1.80亿,50.7亿
1248,603388,元成股份,10.13,18.4,2.5,62,8.62亿,52.65,7.78亿,1.00亿,0.41,19.0亿,9996万,4.05,55.52,3.33亿,1.61,25.56,23.9亿,19.0亿,8890万,5.08万,63.34,3.27亿,15.2亿,13.1亿,2.02亿,1.58,8527万,20.9亿
1249,603389,亚振家居,10.16,-79.71,2.63,35,6.40亿,-22.23,2.92亿,-3051万,-0.1,5.64亿,-3038万,3.86,-149.97,2.22亿,1.01,57.82,9.91亿,5.64亿,1.22亿,3787万,14.64,3.78亿,1.45亿,1.30亿,1560万,1.73,-2093万,22.2亿
1250,603393,新天然气,31.5,30.34,2.44,8,27.0亿,37.23,8.65亿,1.96亿,0.78,27.1亿,1.98亿,12.91,-18.71,4.01亿,2.5,37.15,71.5亿,27.1亿,7.30亿,1.03亿,34.27,11.7亿,24.5亿,5.67亿,18.8亿,7.33,1.25亿,50.4亿
1251,603396,金辰股份,26.78,23.63,2.33,58,8.45亿,26.86,5.37亿,8520万,0.85,14.8亿,8539万,11.48,17.91,3.05亿,4.04,38.46,17.2亿,14.8亿,1.62亿,891万,48.98,4.55亿,8.41亿,8.40亿,106万,6.02,6422万,20.2亿
1252,603398,邦宝益智,11.87,61.25,3.94,61,6.33亿,8.45,2.54亿,3292万,0.15,3.39亿,3548万,3.02,-33.21,1.84亿,0.86,33.78,9.69亿,3.39亿,2.34亿,510万,33.8,2.25亿,3.28亿,3.23亿,437万,1.06,3093万,25.3亿
1253,603399,吉翔股份,9.81,17.39,2.21,44,49.8亿,76.37,26.7亿,4708万,0.42,30.3亿,2.93亿,4.44,148.1,4.12亿,0.75,7.78,42.2亿,30.3亿,3.47亿,5.23亿,42.53,17.6亿,18.0亿,17.1亿,8509万,3.22,2.31亿,53.6亿
1254,603416,信捷电气,22.29,22.35,3.08,30,7.83亿,28.53,4.36亿,1.33亿,0.75,9.78亿,1.33亿,7.23,7.26,4.58亿,3.26,40.1,12.2亿,9.78亿,8497万,6306万,16.85,3.70亿,2.06亿,1.92亿,1378万,2.63,1.05亿,31.3亿
1255,603421,鼎信通讯,22.78,38.31,4.41,42,10.4亿,21.85,11.0亿,2.14亿,0.45,20.2亿,2.17亿,5.17,-14.77,11.0亿,2.48,50.17,33.9亿,20.2亿,6.45亿,9791万,28.55,6.78亿,9.68亿,4.98亿,4.70亿,1.53,1.98亿,101亿
1256,603429,集友股份,22.3,42.16,7.32,28,21.8亿,79.16,2.89亿,9118万,0.4,3.20亿,9121万,3.05,6.89,2.31亿,1.21,48.29,8.50亿,3.20亿,2.73亿,3481万,30.01,1.49亿,2.55亿,2.37亿,1843万,0.78,7553万,42.5亿
1257,603444,吉比特,158.2,16.83,4.24,56,65.3亿,8.9,11.6亿,7.85亿,7.05,24.4亿,7.85亿,37.32,14.3,15.6亿,21.74,91.46,36.3亿,24.4亿,3025万,1457万,21.78,10.7亿,7.91亿,7.04亿,8748万,14.84,5.07亿,114亿
1258,603456,九洲药业,6.69,42.68,2,22,53.6亿,2.81,12.7亿,1.12亿,0.12,13.9亿,1.11亿,3.34,-16.83,8.33亿,1.03,30.99,31.9亿,13.9亿,14.0亿,2.02亿,15.4,9.41亿,4.91亿,4.25亿,6563万,1.17,9475万,53.9亿
1259,603458,勘设股份,31.25,13.49,1.86,16,26.7亿,10.54,14.3亿,2.66亿,1.74,29.8亿,2.65亿,16.81,-13.96,10.4亿,8.23,35.4,36.0亿,29.8亿,3.07亿,2992万,42.23,8.13亿,15.2亿,15.1亿,1281万,6.76,2.19亿,39.4亿
1260,603466,风语筑,15.5,19.68,3.33,14,13.6亿,5.21,12.7亿,1.92亿,0.59,27.0亿,2.04亿,4.66,16.78,3.14亿,1.08,31.78,30.5亿,27.0亿,2.09亿,2374万,55.38,7.78亿,16.9亿,16.9亿,0,2.66,1.72亿,45.3亿
